Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Croatia,Manufacturing,2461.44,2069.44,2641.38,2604.54,2277.98,892.4,941.7,1110.38,473.41,436.65
Italy,Manufacturing,8124.62,7607.24,6115.1,4849.07,4158.88,3754.4,3384.45,3485.69,3265.29,3288.22
Cyprus,Manufacturing,22.57,20.17,19.69,16.6,12.89,11.73,14.03,14.69,15.28,19.45
Latvia,Manufacturing,35.68,43.45,52.53,60.93,68.15,69.78,80.03,85.19,77.92,77.79
Lithuania,Manufacturing,9430.49,2158.39,1904.4,2897.29,1968.43,1171.65,1154.4,904.9,742.88,803.94
Luxembourg,Manufacturing,14.29,11.44,13.27,12.16,11.4,11.49,12.54,11.69,11.63,11.95
Hungary,Manufacturing,74.95,98.8,84.97,107.86,122.86,185.8,277.81,241.38,175.45,234.22
Malta,Manufacturing,3.22,2.47,2.07,2.07,2.7,1.98,1.38,1.11,2.34,1.25
Netherlands,Manufacturing,4725.47,4899.05,3962.42,4046.25,4012.36,4080.37,4283.75,4435.84,3605.61,5162.88
Austria,Manufacturing,1348.72,834.23,521.62,480.82,502.45,521.83,489.72,487.42,460.69,460.76
Poland,Manufacturing,13602.31,4126.58,4395.6,4113.44,4476.35,3603.25,3208.38,3292.78,3572.65,3134.65
Portugal,Manufacturing,2180.1,1403.6,1428.2,558.6,544.3,494.9,520.6,484.6,435.3,443.64
Romania,Manufacturing,3774.53,2394.56,4100.51,4099.68,3492.84,1834.55,1491.37,1257.56,1235.02,1226.78
Slovenia,Manufacturing,34.45,30.62,33.26,29.79,27.06,29.67,35.15,33.76,33.35,28.37
Slovakia,Manufacturing,5229.02,4446.32,3856.41,2357.37,2002.83,1522.9,1635.31,1546.52,1547.79,1685.73
Finland,Manufacturing,5634.86,3024.87,1042.43,933.8,1030.54,1203.1,1174.58,1377.76,1285.72,1233.28
Sweden,Manufacturing,1660.24,1738.99,1806.96,918.91,1003.79,931.02,960.59,882.75,943.69,918.48
United Kingdom,Manufacturing,10227.97,5448.7,5897.02,2754.88,1927.04,1671.47,1779.15,1740.19,1740.61,1735.45
Iceland,Manufacturing,4.33,4.2,3.69,3.28,3.39,3.61,2.19,3.89,4.05,-1
Norway,Manufacturing,3602.4,1928.12,1788.34,1640.1,1581.63,1411.38,1331.48,1364.06,1139.38,-1
Switzerland,Manufacturing,301.07,270.52,280.63,258.35,255.68,179.57,101.72,102.33,107.4,-1
Serbia,Manufacturing,-1,-1,1430.82,1827.37,1927.95,2030.37,1431.03,-1,-1,-1
Turkey,Manufacturing,3710.91,5461.72,6582.13,6867.06,7062.59,7086.22,7204.95,6057.09,5318.44,-1
EU28,"Electricity, gas, steam and air conditioning supply",28023.85,25637.97,26424.3,26253.21,26433.99,25403.7,24009.67,24005.71,22702.85,22783.19
Belgium,"Electricity, gas, steam and air conditioning supply",315.59,319.29,332.3,313.97,325.97,341.94,264.95,305.29,295.37,295.4
Bulgaria,"Electricity, gas, steam and air conditioning supply",2506.31,1548.06,1564.76,1518.36,1124.88,1021.78,1045.48,1080.4,964.96,957.09
Czechia,"Electricity, gas, steam and air conditioning supply",784.24,748.38,791.23,783.31,752.63,706.24,700.42,694.67,707.04,712.12
Denmark,"Electricity, gas, steam and air conditioning supply",298.52,309.49,330.99,281.52,261.98,278.83,247.74,220.62,241.26,229.07
Germany,"Electricity, gas, steam and air conditioning supply",9239.3,8834.85,9380.66,9429.96,9507.68,9322.5,9020.5,8827.78,8728.57,8547.46
Estonia,"Electricity, gas, steam and air conditioning supply",10.24,12.76,76.24,14.63,24.89,58.88,31.69,32.26,31.04,34.54
Ireland,"Electricity, gas, steam and air conditioning supply",480.42,461.56,480.72,438.45,445.31,411.03,410.9,403.96,462.07,464.77
Greece,"Electricity, gas, steam and air conditioning supply",572.18,552.93,517.33,525.9,535.98,474.39,446.89,390.17,311.73,388.1
Spain,"Electricity, gas, steam and air conditioning supply",2786.41,2445.86,1958.23,2019.26,1872.92,1491.39,1489.45,1633.36,1370.18,1644.25
France,"Electricity, gas, steam and air conditioning supply",628.45,617.95,653.32,541.37,596.94,540.69,343.59,408.23,499.66,524.96
Croatia,"Electricity, gas, steam and air conditioning supply",83.42,69.06,72,76.55,73.56,71.57,60.74,64.6,76.69,74.43
Italy,"Electricity, gas, steam and air conditioning supply",1213.11,1081.77,1117.7,1229.58,1309.5,1412.45,1278.53,1220.21,1143.41,1151.43
Cyprus,"Electricity, gas, steam and air conditioning supply",30.49,31.02,30.26,29.34,27.3,22.23,23.21,23.22,25.21,25.21
Latvia,"Electricity, gas, steam and air conditioning supply",23.24,22.54,25.94,23.48,27.85,41.52,48.56,53.1,66.84,76.75
Lithuania,"Electricity, gas, steam and air conditioning supply",44.22,51.31,52.69,46.58,60.31,69.29,83.05,106.8,111.2,101.67
Luxembourg,"Electricity, gas, steam and air conditioning supply",7.9,7.9,7.4,7.6,7.4,6.8,8.8,9.6,9.5,9.59
Hungary,"Electricity, gas, steam and air conditioning supply",253.11,249.46,251.12,221.1,204.6,207.02,215.29,217.78,206.84,211.19
Malta,"Electricity, gas, steam and air conditioning supply",13.86,12.6,11.98,12.2,13.17,10.62,10.28,5.18,3.33,5.68
Netherlands,"Electricity, gas, steam and air conditioning supply",425.64,454.25,461.34,427.29,457.2,432.94,459.96,559.28,524.69,455.44
Austria,"Electricity, gas, steam and air conditioning supply",298.62,303.07,362.01,370.98,371.2,361.08,332.94,347.08,329.33,329.27
Poland,"Electricity, gas, steam and air conditioning supply",2527.37,2496.89,2609.3,2657.38,2696.8,2638.9,2536.73,2527.78,2434.61,2441.79
Portugal,"Electricity, gas, steam and air conditioning supply",462,462.4,394.3,427.9,385.4,286.2,279.3,385,389.7,475.68
Romania,"Electricity, gas, steam and air conditioning supply",538.74,450.19,428.68,514.79,470.26,366.25,374.75,379.76,304.8,302.77
Slovenia,"Electricity, gas, steam and air conditioning supply",99.53,91.21,93.02,95.04,90.7,87.75,68.18,72,77.12,76.73
Slovakia,"Electricity, gas, steam and air conditioning supply",121.4,117.48,120.97,126.33,135.05,140.84,141.75,146.6,137.33,134.77
Finland,"Electricity, gas, steam and air conditioning supply",902.11,860.01,1086.12,991.61,901.13,911.09,842.14,769.25,820.39,762.01
Sweden,"Electricity, gas, steam and air conditioning supply",795.18,825.49,932,820.8,824.95,864.5,794.83,834.08,791.81,815.65
United Kingdom,"Electricity, gas, steam and air conditioning supply",2562.26,2200.2,2281.7,2307.92,2928.41,2824.96,2449.02,2287.65,1638.16,1535.36
Iceland,"Electricity, gas, steam and air conditioning supply",0.14,0.1,0.09,0.09,0.1,0.11,0.14,0.13,0.1,-1
Norway,"Electricity, gas, steam and air conditioning supply",38.61,43.26,54.64,57.11,64.41,64.96,64.81,70.48,71.87,-1
Switzerland,"Electricity, gas, steam and air conditioning supply",20.04,21.97,22.13,26.26,29.68,31.75,31.06,26.68,28.3,-1
Serbia,"Electricity, gas, steam and air conditioning supply",-1,-1,405.17,455.99,423.32,448.86,351.04,-1,-1,-1
Turkey,"Electricity, gas, steam and air conditioning supply",4007.61,4517.55,4010.15,4237.85,3856.37,4068.03,4366.98,3878.76,4148.66,-1
EU28,"Water supply; sewerage, waste management and remediation activities",34121.45,34281.1,35447.81,34995.92,34997.41,35207.07,35462.18,35660.8,36258.88,36956.71
Belgium,"Water supply; sewerage, waste management and remediation activities",489.23,486.76,518.53,525.59,533,498.35,489.49,503.02,509,509.06
Bulgaria,"Water supply; sewerage, waste management and remediation activities",1.97,1.94,1.94,2.03,2.15,1.67,2.06,2.17,2.2,2.18
Czechia,"Water supply; sewerage, waste management and remediation activities",868.98,816.67,856.13,808.04,780.76,801.63,819.96,849.88,914.75,953.26
Denmark,"Water supply; sewerage, waste management and remediation activities",612.55,555.87,560.1,561.19,534.77,524.4,552.6,528.36,597.36,597.31
Germany,"Water supply; sewerage, waste management and remediation activities",3091.21,3173.91,3081.21,3239.16,3185.88,3188.55,3255.17,3281.57,3302.12,3296.38
Estonia,"Water supply; sewerage, waste management and remediation activities",146.18,156.39,153.17,137.68,142.53,150.23,136.86,141.67,154.45,139.03
Ireland,"Water supply; sewerage, waste management and remediation activities",319.88,319.05,319.11,314.31,316.83,318.06,319.39,321.13,329.64,329.7
Greece,"Water supply; sewerage, waste management and remediation activities",1091.07,1088.69,1116.06,1125.29,1132.05,1136.59,1135.29,1131.42,1144.24,1168.98
Spain,"Water supply; sewerage, waste management and remediation activities",4168.71,4212.92,4477.58,4454.27,4423.06,4327.45,4244.23,4295.55,4319.94,4327.34
France,"Water supply; sewerage, waste management and remediation activities",2351.7,2383.19,2460.42,2292.26,2337.93,2343.31,2279.82,2301.97,2348.52,2378.98
Croatia,"Water supply; sewerage, waste management and remediation activities",288.56,293.01,280.25,283.32,290.76,295.13,299.04,308.91,302.97,305.26
Italy,"Water supply; sewerage, waste management and remediation activities",6854.16,6709.62,7288.06,6727.52,6746.93,6996.15,7186.87,6977.33,6982.78,7031.82
Cyprus,"Water supply; sewerage, waste management and remediation activities",53.14,52.96,57.07,59.4,60.88,59.26,60.54,63.93,64.5,64.27
Latvia,"Water supply; sewerage, waste management and remediation activities",131.04,130.94,128.78,127.99,118.99,114.74,123.44,123.12,134.15,126.43
Lithuania,"Water supply; sewerage, waste management and remediation activities",206.78,197.87,187.38,177.37,174.65,176.64,181.3,182.82,220.83,228.4
Luxembourg,"Water supply; sewerage, waste management and remediation activities",61.81,62.61,61.92,55.12,44.41,44.31,46.41,40.21,42.11,43.1
Hungary,"Water supply; sewerage, waste management and remediation activities",462.64,474.35,448.15,435.08,406.95,393.89,394.66,399.25,393.2,393.5
Malta,"Water supply; sewerage, waste management and remediation activities",33.4,29.55,29.2,15.62,11.17,11.55,13.29,14.76,13.49,15.18
Netherlands,"Water supply; sewerage, waste management and remediation activities",824,831.51,803.29,818.94,827.87,810.99,804.98,853.62,914.83,917.8
Austria,"Water supply; sewerage, waste management and remediation activities",826.43,832.49,841.81,848.09,855.34,842.37,853.62,864.14,882.47,888.27
Poland,"Water supply; sewerage, waste management and remediation activities",2594.88,2721.58,2805.44,2791.5,2934.62,3056.34,3053.21,3186.64,3274.42,3369.71
Portugal,"Water supply; sewerage, waste management and remediation activities",828,834.2,840,819.5,796.4,793.4,784.5,796.8,813.7,815.21
Romania,"Water supply; sewerage, waste management and remediation activities",2094.3,1967.82,1961.24,1907.69,1874.69,1863.69,1849.39,1890.98,1864.6,1852.15
Slovenia,"Water supply; sewerage, waste management and remediation activities",134.81,137.24,136.5,140.37,139.55,141.24,142.37,143,143.47,143.55
Slovakia,"Water supply; sewerage, waste management and remediation activities",659.73,617.59,627.64,650.18,669.92,682.32,734.33,710.47,721.59,721.96
Finland,"Water supply; sewerage, waste management and remediation activities",441.44,433.1,439,447.65,439.62,442.94,454.86,435.2,421.16,420.72
Sweden,"Water supply; sewerage, waste management and remediation activities",826.08,842,827.56,858.35,824.15,811.97,795.09,783.22,797.13,821.12
United Kingdom,"Water supply; sewerage, waste management and remediation activities",3658.76,3917.29,4140.26,4372.41,4391.55,4379.91,4449.42,4529.67,4649.24,5096.05
Iceland,"Water supply; sewerage, waste management and remediation activities",25.55,26.45,26.97,26.9,26.16,27.3,28.77,29.25,30.35,-1
Norway,"Water supply; sewerage, waste management and remediation activities",238.61,244.75,240.61,245.7,250.59,250.22,256.24,266.7,266.11,-1
Switzerland,"Water supply; sewerage, waste management and remediation activities",650.15,652.7,667.56,676.19,657.88,683.54,680.12,701.5,712.15,-1
Serbia,"Water supply; sewerage, waste management and remediation activities",-1,-1,184.88,196.41,228.32,250.77,234.84,-1,-1,-1
Turkey,"Water supply; sewerage, waste management and remediation activities",5266.42,5357.91,5568.2,5705.56,5928.54,6029.32,6105.38,6185.91,6269.4,-1
EU28,Construction,4455.87,3919.06,3784.72,3672.86,3875.95,3567.82,3570.77,3841.86,3846.89,3812.83
Belgium,Construction,75.42,77.75,83.89,87.6,95.69,91.09,78.4,72.79,71.39,71.4
Bulgaria,Construction,8.49,8.16,8.29,8.87,9.85,7.58,10.5,13.44,10.7,10.61
Czechia,Construction,106.88,151.9,93.4,91.57,87.17,53.75,73.28,77.97,76.18,76.04
Denmark,Construction,44.69,41.09,48.53,55.1,51.46,44.01,50.44,54.78,57.91,58.77
Germany,Construction,285.87,295.59,299.7,319.82,252.54,274.02,283.45,303.62,315.85,306.38
Estonia,Construction,6.82,6.61,4.34,5.11,11.3,4.67,5.46,5.68,5.59,4.46
Ireland,Construction,12.1,9.15,8.97,15.03,13.66,13.42,13.36,14.07,13.49,13.91
Greece,Construction,14.65,4.3,2.54,3.23,4.1,4.85,6.35,8.76,8.82,8.11
Spain,Construction,39.58,31.95,28.74,25.23,22.82,13.29,13.21,14.46,16.67,20.02
France,Construction,1147.92,931.89,869.96,894.39,912.05,1007.65,922.11,890.9,987.13,1017.17
Croatia,Construction,59.57,59.42,57.5,56.49,67.42,67.77,39,51.88,79.73,83.56
Italy,Construction,125.22,174.41,159.17,203.02,180.27,142.46,150.45,161.52,159.15,160.27
Cyprus,Construction,11.82,10.75,10.59,9.29,6.73,5.26,4.56,5.07,5.81,3.2
Latvia,Construction,7.92,4.93,4.76,4.52,4.28,4.56,4.37,5.44,4.76,4.99
Lithuania,Construction,10.64,6.32,6.35,6.39,7.07,6.9,6.51,5.91,5.37,5.38
Luxembourg,Construction,43.8,36.3,37.8,34.8,27.7,25.5,27.2,28,23.6,24.71
Hungary,Construction,23.12,20.34,22.43,19.41,19.35,20.64,26.79,31.75,34,36.11
Malta,Construction,0.26,0.15,0.13,0.15,0.17,0.15,0.15,0.16,0.16,0.16
Netherlands,Construction,45.48,45.62,44.32,45.26,43.8,42.14,42.38,43.32,44.78,46.4
Austria,Construction,270.86,251.23,234.86,221.64,213.56,199.84,181.57,171.29,164.97,165.13
