Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
France,Construction,7677312,7169978,7613670,7676132,7677446,7911783,7748084,7754746,7938377,8097305
Croatia,Construction,1959392,1621082,1542450,1378668,1290464,1378429,1311096,1283670,1245386,1314443
Italy,Construction,4387197,5898964,5205523,6680616,5729335,4638309,4789253,5102361,4884799,4847428
Cyprus,Construction,158040,142950,140011,119583,95624,77617,78384,82058,97246,100224
Latvia,Construction,386288,250180,249381,251908,251154,218108,211135,236268,209377,218853
Lithuania,Construction,124999,78500,78421,71047,69554,63207,66965,69732,70963,72526
Luxembourg,Construction,164200,149200,166200,156700,136900,127900,140700,160500,141800,143747
Hungary,Construction,844655,765332,776514,689771,654618,804679,906068,992012,1030313,1091607
Malta,Construction,21413,11488,10033,12463,14147,12705,12148,11228,11284,11605
Netherlands,Construction,3435656,3393136,3227937,3206947,3054590,2928389,2888189,2922948,3023337,3110293
Austria,Construction,2930487,2824882,2686631,2359905,2266205,2112687,1730148,1705445,1727434,1785099
Poland,Construction,716826,869901,824855,843699,747701,594503,510928,469038,503641,528600
Portugal,Construction,1923100,1860800,1907500,1619500,1238500,985100,954200,1017800,1023100,1060130
Romania,Construction,1475269,1290408,1239867,1301147,1517973,2670520,1484197,1535099,1563055,1637369
Slovenia,Construction,162503,128568,93221,77529,86584,67296,61289,69014,69631,70076
Slovakia,Construction,2761812,2103996,1895666,2187026,1945885,1825298,1927409,1892961,1915627,1962902
Finland,Construction,1205239,1296403,1490376,1375852,1335398,1462395,1222464,1233652,1416615,1321873
Sweden,Construction,2035005,1877596,1981636,1997903,1930539,1930080,1824581,1878247,1833008,1831914
United Kingdom,Construction,12533247,11077000,11123453,10569578,11209916,10476220,10831128,11695195,11760851,11991582
Iceland,Construction,249296,186146,150063,132149,135690,132996,171988,143617,163209,-1
Norway,Construction,797249,766947,770963,756638,814143,826453,834729,841001,834329,-1
Switzerland,Construction,1171677,1183791,1202893,1165151,1199663,1213371,1148586,1119086,1102340,-1
Serbia,Construction,-1,-1,70216,144080,154301,113967,118136,-1,-1,-1
Turkey,Construction,5230893,5725878,6670136,5727129,5138539,4496204,3954240,3276159,3259089,-1
EU28,Wholesale and retail trade; repair of motor vehicles and motorcycles,83246631,81319157,83827916,80196736,77028667,75268323,72699081,75214417,76830267,77777249
Belgium,Wholesale and retail trade; repair of motor vehicles and motorcycles,2608874,2430041,2168338,1959543,2047983,2085536,1963887,1941170,1976918,1846531
Bulgaria,Wholesale and retail trade; repair of motor vehicles and motorcycles,421812,395573,387905,437898,456062,413208,463925,502772,516044,542022
Czechia,Wholesale and retail trade; repair of motor vehicles and motorcycles,708765,1025074,811809,902147,827876,840596,789387,826370,850606,857048
Denmark,Wholesale and retail trade; repair of motor vehicles and motorcycles,1110727,1025569,1080287,1114189,1031326,923504,886890,944879,954273,946482
Germany,Wholesale and retail trade; repair of motor vehicles and motorcycles,17004890,15683183,17575793,16740403,16562945,17297528,18380167,17183255,17817027,18027492
Estonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,153603,185570,126617,132587,154068,146600,148060,169679,164529,168002
Ireland,Wholesale and retail trade; repair of motor vehicles and motorcycles,1658714,1591598,1401672,1295241,1275992,1523294,1422263,1536593,1525456,1489683
Greece,Wholesale and retail trade; repair of motor vehicles and motorcycles,445479,366473,339867,165970,33590,29330,21800,23456,24000,24038
Spain,Wholesale and retail trade; repair of motor vehicles and motorcycles,4372644,4631922,5652185,6142919,5919351,4629226,3938504,5070200,5314329,5300309
France,Wholesale and retail trade; repair of motor vehicles and motorcycles,9564101,10619052,10680412,10257298,10038822,10329112,9310451,9472782,9322512,9493589
Croatia,Wholesale and retail trade; repair of motor vehicles and motorcycles,482553,478897,478974,458925,425566,437120,404659,438017,457542,443418
Italy,Wholesale and retail trade; repair of motor vehicles and motorcycles,7537591,7157883,6312470,6084271,5562739,5441729,4859825,5020403,4813858,4777031
Cyprus,Wholesale and retail trade; repair of motor vehicles and motorcycles,184945,186116,172722,156192,134572,110925,99330,110356,117510,121421
Latvia,Wholesale and retail trade; repair of motor vehicles and motorcycles,545205,300838,312171,211079,222397,214349,184793,234482,232805,242283
