Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Finland,Mining and quarrying,16.78,16.82,17.07,17.6,18.07,18.51,17.91,18.3,19.34,19.17
Sweden,Mining and quarrying,684.8,618.36,650.09,618.13,681.1,557.1,623.41,667.71,668.31,670.72
United Kingdom,Mining and quarrying,161680.45,163468.56,156955,154695.74,158620.16,119934.52,118774.41,103673.08,68779.56,63150.05
Iceland,Mining and quarrying,0,0,0,0,0,0,0,0,0,-1
Norway,Mining and quarrying,36586.34,34524.32,35546.42,32453.91,30812.05,32068.42,37484.09,33987.9,33402.18,-1
Switzerland,Mining and quarrying,3.04,2.3,2.14,1.9,1.86,1.93,1.75,1.7,1.5,-1
Serbia,Mining and quarrying,-1,-1,76760.59,88262.7,89117.05,93203.55,80815.95,-1,-1,-1
Turkey,Mining and quarrying,231865.42,229655.62,233449.27,250463.13,257185.9,230627.86,272579.61,100643.18,218021.94,-1
EU28,Manufacturing,425891.16,389234.51,410018.07,415275.24,402592.28,405419.51,401377.75,401579.42,401395.61,402621.63
Belgium,Manufacturing,5521.25,3465.31,3774.36,3256.26,2808.45,3093.44,3337.41,3269.28,3059.32,3059.33
Bulgaria,Manufacturing,1783.22,91.4,102.63,111.8,129.44,138.01,169.78,174.18,161.17,155.52
Czechia,Manufacturing,5522.04,4991.01,4737.69,4478.29,4571.97,4467.13,4731.63,3864.07,3206.73,3521.56
Denmark,Manufacturing,1065.81,1039.74,1085.89,1056.99,949.34,919.9,974.73,1044.33,1094.42,1094.36
Germany,Manufacturing,44185.56,41981.45,43822.04,43638.96,42054.86,42476.2,45194.93,45790.89,45567.52,45058.65
Estonia,Manufacturing,215.23,48.7,132.8,399.6,283.74,382.19,390.82,434.81,945.39,836.42
Ireland,Manufacturing,386.54,330.89,341.95,256.16,252.9,263.49,302.23,308.38,305,313.4
Greece,Manufacturing,7105.73,6877.7,6000.12,5657.95,5399.86,5474.36,5256.35,4179.58,4275.37,4886.79
